"filename", "language", "TypeScript", "vue", "Less", "CSS", "HTML", "JSON", "JavaScript", "comment", "blank", "total"
"c:\学习\前端\Teitter\src\App.vue", "vue", 0, 44, 0, 0, 0, 0, 0, 0, 6, 50
"c:\学习\前端\Teitter\src\api\index.ts", "TypeScript", 409, 0, 0, 0, 0, 0, 0, 20, 30, 459
"c:\学习\前端\Teitter\src\api\request.ts", "TypeScript", 48, 0, 0, 0, 0, 0, 0, 4, 7, 59
"c:\学习\前端\Teitter\src\api\socket.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 4, 15
"c:\学习\前端\Teitter\src\components\aside\theAside.vue", "vue", 0, 214, 0, 0, 0, 0, 0, 0, 10, 224
"c:\学习\前端\Teitter\src\components\aside\userInfoCard.vue", "vue", 0, 125, 0, 0, 0, 0, 0, 0, 6, 131
"c:\学习\前端\Teitter\src\components\editUserInfo.vue", "vue", 0, 400, 0, 0, 0, 0, 0, 7, 14, 421
"c:\学习\前端\Teitter\src\components\imgClipper.vue", "vue", 0, 506, 0, 0, 0, 0, 0, 0, 19, 525
"c:\学习\前端\Teitter\src\components\login\theLogin.vue", "vue", 0, 107, 0, 0, 0, 0, 0, 0, 12, 119
"c:\学习\前端\Teitter\src\components\login\theRegister.vue", "vue", 0, 154, 0, 0, 0, 0, 0, 0, 16, 170
"c:\学习\前端\Teitter\src\components\mainArea\publishTeitter.vue", "vue", 0, 360, 0, 0, 0, 0, 0, 0, 26, 386
"c:\学习\前端\Teitter\src\components\mainArea\theMainArea.vue", "vue", 0, 94, 0, 0, 0, 0, 0, 0, 8, 102
"c:\学习\前端\Teitter\src\components\mainArea\theTeitterCard.vue", "vue", 0, 390, 0, 0, 0, 0, 0, 2, 20, 412
"c:\学习\前端\Teitter\src\components\msgBox.vue", "vue", 0, 42, 0, 0, 0, 0, 0, 0, 4, 46
"c:\学习\前端\Teitter\src\components\networkError.vue", "vue", 0, 35, 0, 0, 0, 0, 0, 0, 3, 38
"c:\学习\前端\Teitter\src\components\noticeCard.vue", "vue", 0, 150, 0, 0, 0, 0, 0, 0, 8, 158
"c:\学习\前端\Teitter\src\components\statusPanel.vue", "vue", 0, 158, 0, 0, 0, 0, 0, 0, 9, 167
"c:\学习\前端\Teitter\src\components\theBanner.vue", "vue", 0, 83, 0, 0, 0, 0, 0, 0, 4, 87
"c:\学习\前端\Teitter\src\components\theLoad.vue", "vue", 0, 24, 0, 0, 0, 0, 0, 0, 4, 28
"c:\学习\前端\Teitter\src\components\tweet\comment.vue", "vue", 0, 121, 0, 0, 0, 0, 0, 0, 5, 126
"c:\学习\前端\Teitter\src\components\tweet\commentCard.vue", "vue", 0, 316, 0, 0, 0, 0, 0, 1, 19, 336
