"filename", "language", "TypeScript", "Less", "vue", "JSON", "HTML", "CSS", "comment", "blank", "total"
"c:\学习\前端\Teitter\src\App.vue", "vue", 0, 0, 5, 0, 0, 0, 0, 2, 7
"c:\学习\前端\Teitter\src\api\index.ts", "TypeScript", 30, 0, 0, 0, 0, 0, 0, 0, 30
"c:\学习\前端\Teitter\src\api\socket.ts", "TypeScript", 24, 0, 0, 0, 0, 0, 0, 2, 26
"c:\学习\前端\Teitter\src\components\aside\theAside.vue", "vue", 0, 0, 27, 0, 0, 0, 0, 2, 29
"c:\学习\前端\Teitter\src\components\aside\userInfoCard.vue", "vue", 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\学习\前端\Teitter\src\components\imgClipper.vue", "vue", 0, 0, 26, 0, 0, 0, 0, 2, 28
"c:\学习\前端\Teitter\src\components\login\theLogin.vue", "vue", 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\学习\前端\Teitter\src\components\lottie.vue", "vue", 0, 0, 30, 0, 0, 0, 0, 6, 36
"c:\学习\前端\Teitter\src\components\mainArea\publishTeitter.vue", "vue", 0, 0, 35, 0, 0, 0, 0, 0, 35
"c:\学习\前端\Teitter\src\components\mainArea\theMainArea.vue", "vue", 0, 0, 22, 0, 0, 0, 0, 2, 24
"c:\学习\前端\Teitter\src\components\mainArea\theTeitterCard.vue", "vue", 0, 0, 34, 0, 0, 0, 0, -2, 32
"c:\学习\前端\Teitter\src\components\networkError.vue", "vue", 0, 0, 2, 0, 0, 0, 0, 2, 4
"c:\学习\前端\Teitter\src\components\rightPanel.vue", "vue", 0, 0, 93, 0, 0, 0, 0, 7, 100
"c:\学习\前端\Teitter\src\components\statusPanel.vue", "vue", 0, 0, -158, 0, 0, 0, 0, -9, -167
"c:\学习\前端\Teitter\src\components\theLoad.vue", "vue", 0, 0, -13, 0, 0, 0, 0, 0, -13
"c:\学习\前端\Teitter\src\components\tweet\comment.vue", "vue", 0, 0, 15, 0, 0, 0, 5, 1, 21
"c:\学习\前端\Teitter\src\components\tweet\commentCard.vue", "vue", 0, 0, -1, 0, 0, 0, 0, 0, -1
"c:\学习\前端\Teitter\src\components\tweet\tweetInfoCard.vue", "vue", 0, 0, 4, 0, 0, 0, -1, 0, 3
"c:\学习\前端\Teitter\src\css\main.css", "CSS", 0, 0, 0, 0, 0, 22, 0, 0, 22
"c:\学习\前端\Teitter\src\font\demo_index.html", "HTML", 0, 0, 0, 0, 80, 0, 0, 12, 92
"c:\学习\前端\Teitter\src\font\iconfont.css", "CSS", 0, 0, 0, 0, 0, 12, 0, 4, 16
"c:\学习\前端\Teitter\src\font\iconfont.json", "JSON", 0, 0, 0, 28, 0, 0, 0, 0, 28
"c:\学习\前端\Teitter\src\interfaces\pubInterface.ts", "TypeScript", 86, 0, 0, 0, 0, 0, 0, 7, 93
"c:\学习\前端\Teitter\src\lottie\loading.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\学习\前端\Teitter\src\lottie\logo.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\学习\前端\Teitter\src\lottie\networderr.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\学习\前端\Teitter\src\lottie\sad.json", "JSON", 0, 0, 0, 25998, 0, 0, 0, 0, 25998
"c:\学习\前端\Teitter\src\lottie\search.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 1
