"filename", "language", "TypeScript", "Less", "vue", "JSON", "JavaScript", "HTML", "CSS", "comment", "blank", "total"
"c:\学习\前端\Teitter\src\App.vue", "vue", 0, 0, 49, 0, 0, 0, 0, 0, 8, 57
"c:\学习\前端\Teitter\src\api\index.ts", "TypeScript", 439, 0, 0, 0, 0, 0, 0, 20, 30, 489
"c:\学习\前端\Teitter\src\api\request.ts", "TypeScript", 48, 0, 0, 0, 0, 0, 0, 4, 7, 59
"c:\学习\前端\Teitter\src\api\socket.ts", "TypeScript", 35, 0, 0, 0, 0, 0, 0, 0, 6, 41
"c:\学习\前端\Teitter\src\components\aside\theAside.vue", "vue", 0, 0, 241, 0, 0, 0, 0, 0, 12, 253
"c:\学习\前端\Teitter\src\components\aside\userInfoCard.vue", "vue", 0, 0, 126, 0, 0, 0, 0, 0, 6, 132
"c:\学习\前端\Teitter\src\components\editUserInfo.vue", "vue", 0, 0, 400, 0, 0, 0, 0, 7, 14, 421
"c:\学习\前端\Teitter\src\components\imgClipper.vue", "vue", 0, 0, 532, 0, 0, 0, 0, 0, 21, 553
"c:\学习\前端\Teitter\src\components\login\theLogin.vue", "vue", 0, 0, 108, 0, 0, 0, 0, 0, 12, 120
"c:\学习\前端\Teitter\src\components\login\theRegister.vue", "vue", 0, 0, 154, 0, 0, 0, 0, 0, 16, 170
"c:\学习\前端\Teitter\src\components\lottie.vue", "vue", 0, 0, 30, 0, 0, 0, 0, 0, 6, 36
"c:\学习\前端\Teitter\src\components\mainArea\publishTeitter.vue", "vue", 0, 0, 395, 0, 0, 0, 0, 0, 26, 421
"c:\学习\前端\Teitter\src\components\mainArea\theMainArea.vue", "vue", 0, 0, 116, 0, 0, 0, 0, 0, 10, 126
"c:\学习\前端\Teitter\src\components\mainArea\theTeitterCard.vue", "vue", 0, 0, 424, 0, 0, 0, 0, 2, 18, 444
"c:\学习\前端\Teitter\src\components\msgBox.vue", "vue", 0, 0, 42, 0, 0, 0, 0, 0, 4, 46
"c:\学习\前端\Teitter\src\components\networkError.vue", "vue", 0, 0, 37, 0, 0, 0, 0, 0, 5, 42
"c:\学习\前端\Teitter\src\components\noticeCard.vue", "vue", 0, 0, 150, 0, 0, 0, 0, 0, 8, 158
"c:\学习\前端\Teitter\src\components\rightPanel.vue", "vue", 0, 0, 93, 0, 0, 0, 0, 0, 7, 100
"c:\学习\前端\Teitter\src\components\theBanner.vue", "vue", 0, 0, 83, 0, 0, 0, 0, 0, 4, 87
"c:\学习\前端\Teitter\src\components\theLoad.vue", "vue", 0, 0, 11, 0, 0, 0, 0, 0, 4, 15
"c:\学习\前端\Teitter\src\components\tweet\comment.vue", "vue", 0, 0, 136, 0, 0, 0, 0, 5, 6, 147
"c:\学习\前端\Teitter\src\components\tweet\commentCard.vue", "vue", 0, 0, 315, 0, 0, 0, 0, 1, 19, 335
"c:\学习\前端\Teitter\src\components\tweet\shareCard.vue", "vue", 0, 0, 82, 0, 0, 0, 0, 0, 4, 86
"c:\学习\前端\Teitter\src\components\tweet\tweetInfoCard.vue", "vue", 0, 0, 362, 0, 0, 0, 0, 0, 16, 378
"c:\学习\前端\Teitter\src\css\main.css", "CSS", 0, 0, 0, 0, 0, 0, 44, 0, 1, 45
"c:\学习\前端\Teitter\src\font\demo.css", "CSS", 0, 0, 0, 0, 0, 0, 435, 19, 86, 540
"c:\学习\前端\Teitter\src\font\demo_index.html", "HTML", 0, 0, 0, 0, 0, 731, 0, 2, 100, 833
"c:\学习\前端\Teitter\src\font\iconfont.css", "CSS", 0, 0, 0, 0, 0, 0, 97, 0, 31, 128
"c:\学习\前端\Teitter\src\font\iconfont.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\学习\前端\Teitter\src\font\iconfont.json", "JSON", 0, 0, 0, 205, 0, 0, 0, 0, 1, 206
"c:\学习\前端\Teitter\src\interfaces\pubInterface.ts", "TypeScript", 179, 0, 0, 0, 0, 0, 0, 0, 12, 191
"c:\学习\前端\Teitter\src\lottie\loading.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\学习\前端\Teitter\src\lottie\logo.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\学习\前端\Teitter\src\lottie\networderr.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\学习\前端\Teitter\src\lottie\sad.json", "JSON", 0, 0, 0, 25998, 0, 0, 0, 0, 0, 25998
"c:\学习\前端\Teitter\src\lottie\search.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\学习\前端\Teitter\src\main.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 0, 1, 5, 21
"c:\学习\前端\Teitter\src\router\index.ts", "TypeScript", 183, 0, 0, 0, 0, 0, 0, 14, 9, 206
"c:\学习\前端\Teitter\src\stores\teitter.ts", "TypeScript", 46, 0, 0, 0, 0, 0, 0, 1, 6, 53
"c:\学习\前端\Teitter\src\style\main.less", "Less", 0, 123, 0, 0, 0, 0, 0, 10, 2, 135
"c:\学习\前端\Teitter\src\utils\darkMode.ts", "TypeScript", 48, 0, 0, 0, 0, 0, 0, 10, 8, 66
"c:\学习\前端\Teitter\src\utils\imgCompress.ts", "TypeScript", 63, 0, 0, 0, 0, 0, 0, 13, 3, 79
"c:\学习\前端\Teitter\src\views\EULAView.vue", "vue", 0, 0, 112, 0, 0, 0, 0, 0, 3, 115
"c:\学习\前端\Teitter\src\views\aboutView.vue", "vue", 0, 0, 61, 0, 0, 0, 0, 0, 9, 70
"c:\学习\前端\Teitter\src\views\changeLogView.vue", "vue", 0, 0, 39, 0, 0, 0, 0, 0, 3, 42
"c:\学习\前端\Teitter\src\views\homePageView\accountView.vue", "vue", 0, 0, 348, 0, 0, 0, 0, 0, 14, 362
